name,url,born,teams,first_class
Pushkaraj Chavan,http://www.espncricinfo.com/ci/content/player/399861.html,"May 18, 1989, Mumbai ","Mumbai Under-15s,","{'matches': '2', 'inns': '3', 'not_outs': '0', 'runs': '66', 'highest': '65', 'average': '22.00', 'balls_faced': '103', 'strike_rate': '64.07', 'hundreds': '0', 'fifties': '1', 'boundaries': '10', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Rahul Chikhalkar,http://www.espncricinfo.com/ci/content/player/376115.html,"November 5, 1983 ",Vidarbha,"{'matches': '1', 'inns': '2', 'not_outs': '0', 'runs': '6', 'highest': '4', 'average': '3.00', 'balls_faced': '18', 'strike_rate': '33.33', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Deepak Sharma,http://www.espncricinfo.com/ci/content/player/317778.html,"May 1, 1984, Delhi ",Assam,"{'matches': '9', 'inns': '17', 'not_outs': '1', 'runs': '311', 'highest': '46', 'average': '19.43', 'balls_faced': '832', 'strike_rate': '37.37', 'hundreds': '0', 'fifties': '0', 'boundaries': '30', 'sixes': '3', 'catches_taken': '6', 'stumps': '0'}"
Mohsin Ahmedbhai Dodia,http://www.espncricinfo.com/ci/content/player/376103.html,"June 7, 1984, Bhavnagar, Saurashtra ",Saurashtra,"{'matches': '6', 'inns': '10', 'not_outs': '0', 'runs': '217', 'highest': '65', 'average': '21.70', 'balls_faced': '577', 'strike_rate': '37.60', 'hundreds': '0', 'fifties': '1', 'boundaries': '32', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Pritam Debnath,http://www.espncricinfo.com/ci/content/player/380101.html,"July 25, 1987, Guwahati ",Assam,"{'matches': '5', 'inns': '8', 'not_outs': '1', 'runs': '61', 'highest': '22', 'average': '8.71', 'balls_faced': '151', 'strike_rate': '40.39', 'hundreds': '0', 'fifties': '0', 'boundaries': '6', 'sixes': '1', 'catches_taken': '1', 'stumps': '0'}"
A Diwedi,http://www.espncricinfo.com/ci/content/player/290654.html,date unknown ,Uttar Pradesh,"{'matches': '2', 'inns': '-', 'not_outs': '-', 'runs': '-', 'highest': '-', 'average': '-', 'balls_faced': '-', 'strike_rate': '-', 'hundreds': '-', 'fifties': '-', 'boundaries': '-', 'sixes': '-', 'catches_taken': '1', 'stumps': '0'}"
Abhimanyu Easwaran,http://www.espncricinfo.com/ci/content/player/699491.html,"September 6, 1995, Dehra Dun, Uttar Pradesh ","Bengal,","{'matches': '44', 'inns': '77', 'not_outs': '7', 'runs': '3518', 'highest': '201*', 'average': '50.25', 'balls_faced': '6979', 'strike_rate': '50.40', 'hundreds': '11', 'fifties': '16', 'boundaries': '418', 'sixes': '11', 'catches_taken': '42', 'stumps': '0'}"
Sarag Udheshi,http://www.espncricinfo.com/ci/content/player/1159736.html,"October 14, 1986, Mumbai ",Puducherry,"{'matches': '1', 'inns': '-', 'not_outs': '-', 'runs': '-', 'highest': '-', 'average': '-', 'balls_faced': '-', 'strike_rate': '-', 'hundreds': '-', 'fifties': '-', 'boundaries': '-', 'sixes': '-', 'catches_taken': '0', 'stumps': '0'}"
Veera Babu,http://www.espncricinfo.com/ci/content/player/376326.html,"December 13, 1987, Tuni, Andhra Pradesh ",Andhra,"{'matches': '1', 'inns': '2', 'not_outs': '0', 'runs': '0', 'highest': '0', 'average': '0.00', 'balls_faced': '3', 'strike_rate': '0.00', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
Vishal Sharma,http://www.espncricinfo.com/ci/content/player/317711.html,"November 14, 1987, Hyderabad ",Hyderabad (India),"{'matches': '12', 'inns': '17', 'not_outs': '3', 'runs': '155', 'highest': '37', 'average': '11.07', 'balls_faced': '474', 'strike_rate': '32.70', 'hundreds': '0', 'fifties': '0', 'boundaries': '13', 'sixes': '1', 'catches_taken': '7', 'stumps': '0'}"
